Month,Day,AoD
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,101934.85714285714
8,8,101943.85714285714
8,9,101951.0
8,10,101958.42857142857
8,11,101965.28571428571
8,12,101967.85714285714
8,13,101970.42857142857
8,14,101972.28571428571
8,15,101974.0
8,16,101975.85714285714
8,17,101977.0
8,18,101979.57142857143
8,19,101981.28571428571
8,20,101982.71428571429
8,21,101984.57142857143
8,22,101986.0
8,23,101988.42857142857
8,24,101990.57142857143
8,25,101991.14285714286
8,26,101992.28571428571
8,27,101994.28571428571
8,28,101996.0
8,29,101997.71428571429
8,30,101999.85714285714
8,31,102001.71428571429
